t_host_s,seq,base_us,idx,ax,ay,az,t_dev_us
1762339437.547371,5817,1149990234,15,-344,1194,2591,1150008241
1762339437.547371,5817,1149990234,16,-329,1327,2774,1150009441
1762339437.547371,5817,1149990234,17,-512,1354,3141,1150010642
1762339437.547371,5817,1149990234,18,-570,1611,3530,1150011842
1762339437.547371,5817,1149990234,19,-563,1708,3738,1150013043
1762339437.653876,5818,1150029296,0,-650,1856,4040,1150029296
1762339437.653876,5818,1150029296,1,-687,1972,4316,1150030496
1762339437.653876,5818,1150029296,2,-726,2080,4781,1150031696
1762339437.653876,5818,1150029296,3,-738,2187,4972,1150032897
1762339437.653876,5818,1150029296,4,-695,2263,5457,1150034097
1762339437.653876,5818,1150029296,5,-771,2159,6147,1150035298
1762339437.653876,5818,1150029296,6,-825,2128,6588,1150036498
1762339437.653876,5818,1150029296,7,-792,2181,7281,1150037699
1762339437.653876,5818,1150029296,8,-708,2228,7995,1150038899
1762339437.653876,5818,1150029296,9,-566,2326,8531,1150040100
1762339437.653876,5818,1150029296,10,-528,2424,8739,1150041300
1762339437.653876,5818,1150029296,11,-348,2545,8946,1150042501
1762339437.653876,5818,1150029296,12,-386,2672,10086,1150043701
1762339437.653876,5818,1150029296,13,-254,2983,10416,1150044902
1762339437.653876,5818,1150029296,14,-270,3338,11287,1150046102
1762339437.653876,5818,1150029296,15,-111,3525,11650,1150047303
1762339437.653876,5818,1150029296,16,187,3787,12178,1150048503
1762339437.653876,5818,1150029296,17,149,4022,12303,1150049704
1762339437.653876,5818,1150029296,18,216,4124,12652,1150050904
1762339437.653876,5818,1150029296,19,240,4398,12993,1150052105
1762339437.654335,5819,1150068359,0,247,4721,13108,1150068359
1762339437.654335,5819,1150068359,1,293,5112,13411,1150069559
1762339437.654335,5819,1150068359,2,283,5134,13615,1150070759
1762339437.654335,5819,1150068359,3,304,5347,13594,1150071960
